item_id,pose_max_abs,rotation_element_max_abs,translation_max_abs_m,top_score_abs,score_margin_abs
s000010-i000000-p000000,1.3643489480018616,1.3643489480018616,4.250183701515198e-05,0.01171875,0.0
s000010-i000000-p000001,0.0009269416332244873,0.0009269416332244873,1.2099742889404297e-05,0.005859375,0.001953125
s000010-i000000-p000002,0.0012472569942474365,0.0012472569942474365,4.011893179267645e-05,0.03125,0.0
s000010-i000000-p000003,1.4402875900268555,1.4402875900268555,0.03581181447952986,0.693359375,0.009765625
s000010-i000000-p000004,0.0009719729423522949,0.0009719729423522949,4.0683895349502563e-05,0.0234375,0.0078125
s000010-i000000-p000005,0.0031073391437530518,0.0031073391437530518,1.977384090423584e-05,0.015625,0.015625
s000010-i000000-p000006,0.0009215697646141052,0.0009215697646141052,3.2901763916015625e-05,0.33203125,0.01171875
s000010-i000000-p000007,0.0027965158224105835,0.0027965158224105835,5.1081180572509766e-05,0.1484375,0.0078125
s000010-i000000-p000008,0.0019934773445129395,0.0019934773445129395,6.967037916183472e-05,0.01953125,0.0
s000010-i000000-p000009,0.007225111126899719,0.007225111126899719,7.303804159164429e-05,0.109375,0.0
s000010-i000000-p000010,0.000695984810590744,0.000695984810590744,5.322694778442383e-05,0.046875,0.015625
s000010-i000000-p000011,1.1097359359264374,1.1097359359264374,0.00012245774269104004,0.0234375,0.015625
s000010-i000000-p000012,0.0006413161754608154,0.0006413161754608154,1.0833144187927246e-05,0.015625,0.015625
s000010-i000000-p000013,0.000695936381816864,0.000695936381816864,1.3284385204315186e-05,0.015625,0.03125
s000010-i000000-p000014,6.431341171264648e-05,6.431341171264648e-05,5.4836273193359375e-06,0.09375,0.0078125
s000010-i000000-p000015,0.00026285648345947266,0.00026285648345947266,5.938112735748291e-06,0.078125,0.0
s000010-i000000-p000016,1.3897903561592102,1.3897903561592102,6.836652755737305e-05,0.03125,0.015625
s000010-i000000-p000017,1.3590604960918427,1.3590604960918427,2.977997064590454e-05,0.01171875,0.00390625
s000010-i000000-p000018,1.380867063999176,1.380867063999176,2.4020671844482422e-05,0.0625,0.015625
s000010-i000000-p000019,0.0008046478033065796,0.0008046478033065796,1.8030405044555664e-05,0.0625,0.0
s000010-i000000-p000020,0.006608068943023682,0.006608068943023682,3.215484321117401e-05,0.015625,0.015625
s000010-i000000-p000021,0.0023365914821624756,0.0023365914821624756,4.4658780097961426e-05,0.046875,0.0
s000010-i000000-p000022,0.003226205240935087,0.003226205240935087,2.4318695068359375e-05,0.716796875,0.068359375
s000010-i000000-p000023,0.00087013840675354,0.00087013840675354,1.1324882507324219e-05,0.0390625,0.0
s000010-i000000-p000024,0.001016378402709961,0.001016378402709961,1.4971941709518433e-05,0.0361328125,0.0029296875
s000010-i000000-p000025,1.6811135411262512,1.6811135411262512,0.00018822401762008667,0.046875,0.015625
s000010-i000000-p000026,0.0020572394132614136,0.0020572394132614136,0.00010305270552635193,0.0078125,0.0
s000010-i000000-p000027,0.0009759962558746338,0.0009759962558746338,1.391582190990448e-05,0.015625,0.0078125
