Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.0,18634759758,102017,182663.3,2612.0,893,33605743,2012452.2,cudaStreamSynchronize
17.0,5381757738,1499730,3588.5,3381.0,2481,1405867,2054.3,cudaLaunchKernel
13.3,4207851552,8093,519937.2,207037.0,62314,37309345,3054209.3,cudaFree
4.9,1541339056,198894,7749.6,4413.0,2190,40072099,122534.3,cudaMemcpyAsync
3.7,1166143193,8023,145350.0,104725.0,61119,10168678,392871.8,cudaMalloc
0.7,208357627,39483,5277.1,5154.0,146,38294,1906.2,cudaMemsetAsync
0.6,195771532,53963,3627.9,3426.0,2911,237173,1221.0,cudaLaunchKernelExC
0.6,188824797,52346,3607.2,3482.0,2497,121402,1148.9,cuLaunchKernel
0.1,39403337,51784,760.9,603.5,255,8998,429.0,cuKernelGetFunction
0.0,13669089,243,56251.4,7291.0,3832,274198,72746.8,cudaMallocAsync
0.0,7665035,8590,892.3,833.5,407,9904,410.8,cudaStreamIsCapturing
0.0,1600876,162,9882.0,9388.5,6031,26291,3079.4,cudaDeviceSynchronize
0.0,948744,243,3904.3,4114.0,1389,9119,1740.2,cudaFreeAsync
0.0,314608,1327,237.1,227.0,169,1675,65.7,cudaGetDevice
0.0,89548,543,164.9,140.0,97,10891,463.3,cuDevicePrimaryCtxGetState
0.0,33053,194,170.4,112.0,84,9593,681.7,cudaGetLastError
0.0,2617,17,153.9,144.0,94,403,71.6,cuCtxGetCurrent
0.0,2300,3,766.7,702.0,570,1028,235.7,cudaDeviceGetAttribute
0.0,2107,3,702.3,774.0,526,807,153.6,cuOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
