start_s,duration_us,prior_activity_gap_us,next_activity_gap_us
0.20436913,10.138,2602.432,152.445
0.206610958,8.094,2078.861,283.273
1.002024669,11.192,2137.385,165.522
1.063090305,14.087,60888.57,286.334
1.791962186,7.087,39.039,131.188
1.794040045,8.27,1939.2,322.981
2.510481964,6.605,51.208,134.541
2.512636748,7.797,2013.286,280.824
3.226042637,6.557,35.269,194.944
3.228488262,8.597,2243.772,275.748
3.955656836,26.291,5029.421,219.084
3.960513977,11.498,4611.382,538.635
4.695322727,10.91,3211.294,153.761
4.697757082,8.64,2269.3,334.978
5.456490033,21.102,2339.299,156.548
5.458708688,8.259,2040.621,284.612
6.190666727,10.774,3038.721,147.108
6.193452234,9.3,2627.241,350.076
6.927446996,10.285,2148.87,152.448
6.929850867,13.069,2240.754,414.008
7.669465748,9.65,2527.197,151.72
7.671463536,8.14,1836.034,281.924
8.423669856,10.861,2188.835,161.572
8.425796893,7.755,1954.22,297.052
9.166493544,9.927,2151.357,140.336
9.170486529,9.393,3842.338,290.768
10.00454722,9.343,2452.819,157.892
10.007032738,8.227,2317.899,283.527
10.801634044,10.217,2148.533,139.222
10.803798757,8.368,2014.89,275.065
11.526913624,9.416,1958.542,157.212
11.528848374,7.91,1767.77,276.465
12.255196589,9.856,2061.818,141.273
12.257414849,8.015,2066.779,286.954
12.983137687,10.37,2188.895,153.683
12.985179033,7.652,1876.909,280.642
13.709865743,14.743,2181.019,256.035
13.712132569,8.584,1995.664,284.603
14.43520227,14.949,1976.599,148.855
14.437063922,8.036,1697.464,478.134
15.162765854,9.478,1947.249,144.795
15.164907462,7.936,1986.983,275.052
15.917461569,11.864,3627.092,186.037
15.919981557,12.021,2321.319,443.451
16.703847552,9.744,2047.717,155.102
16.705687405,8.005,1674.655,285.165
17.429978121,10.409,2194.194,161.913
17.431952171,7.89,1801.344,288.416
18.159086741,10.291,1986.306,143.998
18.161411163,7.905,2169.749,274.719
18.887977606,10.628,2388.302,162.436
18.890035306,7.804,1884.252,280.795
19.618788314,19.226,1918.982,151.538
19.620699573,7.767,1740.143,278.956
20.453566363,12.06,2603.944,186.068
20.456068107,10.598,2303.232,388.465
21.190997819,9.786,2010.278,171.699
21.193078398,8.25,1898.742,278.371
21.918430037,9.461,2070.906,161.637
21.920765269,7.618,2163.782,276.781
22.645321534,10.454,2017.712,145.965
22.64751336,8.356,2035.023,274.241
23.375015031,10.399,2330.495,168.024
23.377414705,7.921,2220.899,274.306
24.109313536,10.38,2907.19,180.185
24.112043175,8.698,2538.69,289.597
24.849479506,10.884,2220.517,151.852
24.851408903,7.394,1766.309,286.955
25.600720829,10.932,1965.391,151.247
25.602802495,8.408,1919.103,276.348
26.33618637,9.511,2049.726,163.662
26.493153276,23.492,156793.349,480.597
27.251652838,10.011,2257.479,151.348
27.254264336,9.024,2449.755,277.148
27.990180553,11.72,2394.999,166.167
27.992517927,8.837,2159.135,279.41
28.723201512,10.771,2065.184,144.448
28.786044326,14.218,62687.211,286.771
29.511774863,9.677,2001.644,161.402
29.514080363,8.264,2134.037,277.464
30.243228367,9.455,2211.875,161.347
30.245727142,8.237,2327.621,288.101
31.019014982,11.691,2271.967,170.379
31.043219292,11.783,24021.888,297.743
31.773788743,11.416,2236.349,244.961
31.776385736,10.307,2340.232,280.012
32.507926293,14.371,2231.034,196.12
32.510406885,8.702,2269.717,289.668
33.248439207,15.071,2242.177,159.541
33.251593051,7.918,2978.848,284.559
33.985668325,9.94,2227.665,166.384
33.987885849,7.552,2040.816,282.149
34.72153308,22.868,2240.088,159.241
34.72391085,8.589,2195.277,284.156
35.497161431,9.69,2210.861,174.51
35.499542167,8.376,2196.152,485.992
36.22766868,9.398,2375.039,163.714
36.229941726,8.532,2099.55,291.075
36.968549273,11.271,2445.544,153.896
36.970442139,7.763,1727.347,285.676
37.698972575,9.534,2297.761,153.399
37.701187577,7.91,2051.685,274.697
